CustomerID,FirstName,LastName,Email,Phone,City,Country
1,William,Rivers,francisnathan@gomez.com,9947693088746,Reginafort,Spain
2,Eric,Sanders,weissjill@richardson.net,1269633512660,West Amanda,Falkland Islands (Malvinas)
3,Todd,Woods,jonescarl@johnson.org,9686845819402,South Brett,Anguilla
4,Cynthia,Carter,richmondjonathan@huerta.com,6708163424319,Ronniefurt,Papua New Guinea
5,Kristen,Powers,robertthornton@gmail.com,5788598981354,East Seanview,Sudan
6,Erika,Tyler,kevindecker@hughes.com,2667509688439,Hansonborough,Eritrea
7,Michael,Kirby,fnicholson@werner-rodriguez.biz,5545280216317,West Gregoryburgh,Taiwan
8,Joe,Horton,torresmelissa@yahoo.com,6085590075662,Wellsbury,Algeria
9,Alexandria,Duran,mallen@yahoo.com,3621423035797,Rodriguezmouth,Senegal
10,Patricia,Hawkins,rosekaitlin@yahoo.com,5395966959090,Stephanieton,Mali
11,Brett,Mueller,cabreratina@lopez.com,8453357399904,Courtneyburgh,Grenada
12,Terri,Wise,brian55@yahoo.com,7771466036449,Pricefurt,Belgium
13,Craig,Brown,jacobhood@yahoo.com,9296055388266,Shannonview,Russian Federation
14,Julie,Taylor,raustin@gmail.com,3426438563637,Moniquetown,Hong Kong
15,Anthony,Reyes,jonesevan@watson.net,5208837000893,Adamsville,Kyrgyz Republic
16,Jessica,Bailey,oconrad@cooper.com,2699635789184,Carrollbury,Switzerland
17,Edward,Sanchez,woodpeter@murphy.net,8754701790939,Lake Tammyfort,Colombia
18,Kara,Wood,pthompson@hotmail.com,0993531044332,Trevortown,Yemen
19,Shawn,Morris,cassandra79@sosa.com,9187942395228,Millerchester,American Samoa
20,Kara,Santos,carrollmichelle@thompson.com,0349989127775,New Gabriela,Nigeria
21,Chloe,Curtis,yjimenez@hotmail.com,8150936783708,New Robert,Russian Federation
22,Meghan,Gonzalez,nbradshaw@lee-smith.org,0902358732828,West Joseph,Jordan
